Асеева Н. В.	математика	;расширенное нелинейное уравнение Шредингера;солитон;пространственное вынужденное рассеяние Рамана;неоднородность;линейная дисперсия второго порядка;кубичная нелинейность;аналитическое исследование;численный эксперимент;	Цель работы: Исследована динамика солитонов в рамках расширенного уравнения Шредингера. Учтена нелокальная нелинейность (вынужденное пространственное рассеяние Рамана) и плавные неоднородности как линейной дисперсии второго порядка, так и кубичной нелинейности.
Громов Е. М.	математика	;расширенное нелинейное уравнение Шредингера;солитон;пространственное вынужденное рассеяние Рамана;неоднородность;линейная дисперсия второго порядка;кубичная нелинейность;аналитическое исследование;численный эксперимент;	Цель работы: Исследована динамика солитонов в рамках расширенного уравнения Шредингера. Учтена нелокальная нелинейность (вынужденное пространственное рассеяние Рамана) и плавные неоднородности как линейной дисперсии второго порядка, так и кубичной нелинейности.
Подчищаева О. В.	математика	;расширенное нелинейное уравнение Шредингера;солитон;пространственное вынужденное рассеяние Рамана;неоднородность;линейная дисперсия второго порядка;кубичная нелинейность;аналитическое исследование;численный эксперимент;	Цель работы: Исследована динамика солитонов в рамках расширенного уравнения Шредингера. Учтена нелокальная нелинейность (вынужденное пространственное рассеяние Рамана) и плавные неоднородности как линейной дисперсии второго порядка, так и кубичной нелинейности.
Тютин В. В.	математика	;расширенное нелинейное уравнение Шредингера;солитон;пространственное вынужденное рассеяние Рамана;неоднородность;линейная дисперсия второго порядка;кубичная нелинейность;аналитическое исследование;численный эксперимент;	Цель работы: Исследована динамика солитонов в рамках расширенного уравнения Шредингера. Учтена нелокальная нелинейность (вынужденное пространственное рассеяние Рамана) и плавные неоднородности как линейной дисперсии второго порядка, так и кубичной нелинейности.
Асеева Н. В.	математика	;расширенное нелинейное уравнение Шредингера;солитон;пространственное вынужденное рассеяние Рамана;неоднородность;линейная дисперсия второго порядка;кубичная нелинейность;аналитическое исследование;численный эксперимент;	Научный подход: Исследование проведено как численно, так и аналитически.
Громов Е. М.	математика	;расширенное нелинейное уравнение Шредингера;солитон;пространственное вынужденное рассеяние Рамана;неоднородность;линейная дисперсия второго порядка;кубичная нелинейность;аналитическое исследование;численный эксперимент;	Научный подход: Исследование проведено как численно, так и аналитически.
Подчищаева О. В.	математика	;расширенное нелинейное уравнение Шредингера;солитон;пространственное вынужденное рассеяние Рамана;неоднородность;линейная дисперсия второго порядка;кубичная нелинейность;аналитическое исследование;численный эксперимент;	Научный подход: Исследование проведено как численно, так и аналитически.
Тютин В. В.	математика	;расширенное нелинейное уравнение Шредингера;солитон;пространственное вынужденное рассеяние Рамана;неоднородность;линейная дисперсия второго порядка;кубичная нелинейность;аналитическое исследование;численный эксперимент;	Научный подход: Исследование проведено как численно, так и аналитически.
Асеева Н. В.	математика	;расширенное нелинейное уравнение Шредингера;солитон;пространственное вынужденное рассеяние Рамана;неоднородность;линейная дисперсия второго порядка;кубичная нелинейность;аналитическое исследование;численный эксперимент;	Результат: Показано, что уменьшение волнового числа пакетов, обусловленное пространственным индуцированным рассеянием Рамана, можно компенсировать возрастающими в пространстве линейной дисперсией второго порядка и кубичной нелинейностью, увеличивающими волновое число пакета. Аналитически найден новый класс солитонов, существование которых обусловлено равновесием индуцированного рассеяния и неоднородности среды. аналитически Найден режим динамического равновесия рассеяния и неоднородности среды, при котором параметры солитона меняются во времени периодически. Аналитические результаты подтверждены численным счетом.
Громов Е. М.	математика	;расширенное нелинейное уравнение Шредингера;солитон;пространственное вынужденное рассеяние Рамана;неоднородность;линейная дисперсия второго порядка;кубичная нелинейность;аналитическое исследование;численный эксперимент;	Результат: Показано, что уменьшение волнового числа пакетов, обусловленное пространственным индуцированным рассеянием Рамана, можно компенсировать возрастающими в пространстве линейной дисперсией второго порядка и кубичной нелинейностью, увеличивающими волновое число пакета. Аналитически найден новый класс солитонов, существование которых обусловлено равновесием индуцированного рассеяния и неоднородности среды. аналитически Найден режим динамического равновесия рассеяния и неоднородности среды, при котором параметры солитона меняются во времени периодически. Аналитические результаты подтверждены численным счетом.
Подчищаева О. В.	математика	;расширенное нелинейное уравнение Шредингера;солитон;пространственное вынужденное рассеяние Рамана;неоднородность;линейная дисперсия второго порядка;кубичная нелинейность;аналитическое исследование;численный эксперимент;	Результат: Показано, что уменьшение волнового числа пакетов, обусловленное пространственным индуцированным рассеянием Рамана, можно компенсировать возрастающими в пространстве линейной дисперсией второго порядка и кубичной нелинейностью, увеличивающими волновое число пакета. Аналитически найден новый класс солитонов, существование которых обусловлено равновесием индуцированного рассеяния и неоднородности среды. аналитически Найден режим динамического равновесия рассеяния и неоднородности среды, при котором параметры солитона меняются во времени периодически. Аналитические результаты подтверждены численным счетом.
Тютин В. В.	математика	;расширенное нелинейное уравнение Шредингера;солитон;пространственное вынужденное рассеяние Рамана;неоднородность;линейная дисперсия второго порядка;кубичная нелинейность;аналитическое исследование;численный эксперимент;	Результат: Показано, что уменьшение волнового числа пакетов, обусловленное пространственным индуцированным рассеянием Рамана, можно компенсировать возрастающими в пространстве линейной дисперсией второго порядка и кубичной нелинейностью, увеличивающими волновое число пакета. Аналитически найден новый класс солитонов, существование которых обусловлено равновесием индуцированного рассеяния и неоднородности среды. аналитически Найден режим динамического равновесия рассеяния и неоднородности среды, при котором параметры солитона меняются во времени периодически. Аналитические результаты подтверждены численным счетом.
Асеева Н. В.	математика	;расширенное нелинейное уравнение Шредингера;солитон;пространственное вынужденное рассеяние Рамана;неоднородность;линейная дисперсия второго порядка;кубичная нелинейность;аналитическое исследование;численный эксперимент;	Новизна: Результаты исследования новые и могут иметь приложение для разработки новых поколений оптоволоконных линий связи на базе коротких оптических солитонов.
